"date","time","country","age","n_group","n_manta","dive_level","is_first_time","pc","pick_n_divers","n_diver_A","n_diver_B","n_diver_C","n_diver_D","n_diver_E","n_diver_F","pick_n_boats","n_boats_A","n_boats_B","n_boats_C","n_boats_D","n_boats_E","n_boats_F","dc","diver_norms","boat_norms","date_time","obs_boat","boat_RE","diver_RE","fewer_boat_UL","more_boat_UL","fewer_boat_RE","more_boat_RE","fewer_diver_RE","more_diver_RE"
"09/15/2024","8:00","United Kingdom",31,3,3,"Professional Diver","N",2,1,3,1,-2,-2,-2,-3,2,4,1,0,-2,-3,-4,"BC",5.33333333333333,25,"2024-09-15 08:00:00",60,15,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"09/15/2024","09:13","Germany",31,4,6,"Open Water Diver","Y",NA,3,NA,NA,4,NA,NA,NA,5,NA,NA,NA,NA,4,NA,"BANP",NA,NA,"2024-09-15 09:13:00",60,45,6,NA,NA,NA,NA,NA,NA
"09/15/2024","10:30","Indonesia",32,4,2,"Advanced Open Water Diver","N",8,6,NA,NA,NA,NA,NA,-4,4,NA,NA,NA,-3,NA,NA,"DC",NA,NA,"2024-09-15 10:30:00",NA,35,12,NA,NA,NA,NA,NA,NA
"09/15/2024","11:00","United Kingdom",38,8,5,"Advanced Open Water Diver","Y",9,4,4,4,0,-4,-4,-4,5,4,4,1,-1,-3,-4,"WD",6,30,"2024-09-15 11:00:00",NA,45,8,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/17/2024","7:30","Netherlands",37,8,6,"Try Scuba / DSD","Y",9,6,4,4,-1,-2,-2,-2,5,4,3,-1,-4,-4,-4,"CD",5.4,22.5,"2024-09-17 07:30:00",10,45,12,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"09/17/2024","8:00","Netherlands",38,10,8,"Open Water Diver","N",9,6,4,3,0,-3,-3,-4,5,4,3,0,-2,-4,-4,"CD",6,25,"2024-09-17 08:00:00",10,45,12,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"09/17/2024","8:57","Switzerland",23,4,8,"Advanced Open Water Diver","Y",7,4,-1,-1,-2,-4,-4,-4,3,-1,-1,-1,-2,-4,-4,"OG",0,-5,"2024-09-17 08:57:00",40,25,8,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/17/2024","9:00","France",29,12,5,"Try Scuba / DSD","Y",5,2,2,2,0,0,-1,-2,3,2,2,0,0,-2,-2,"Purple",7,30,"2024-09-17 09:00:00",65,25,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"09/17/2024","11:00","France",27,4,9,"","Y",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"2024-09-17 11:00:00",65,NA,NA,NA,NA,NA,NA,NA,NA
"09/17/2024","11:00","United Kingdom",57,16,20,"Advanced Open Water Diver","Y",6,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"2024-09-17 11:00:00",65,45,10,NA,NA,NA,NA,NA,NA
"09/17/2024","11:00","Italy",37,15,30,"Open Water Diver","Y",6,3,4,3,0,-2,-4,-4,3,4,1,-1,-2,-4,-4,"WD",6,20,"2024-09-17 11:00:00",65,25,6,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"09/17/2024","11:00","Australia",48,12,35,"Advanced Open Water Diver","N",8,6,4,3,-3,-1,-2,-4,4,4,4,1,-2,-3,-4,"WD",7,28.3333333333333,"2024-09-17 11:00:00",65,35,12,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/17/2024","11:00","Belgium",28,16,25,"Advanced Open Water Diver","Y",7,5,4,3,2,-2,-3,-4,4,4,3,-1,-2,-4,-4,"WD",7,22.5,"2024-09-17 11:00:00",65,35,10,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/17/2024","11:00","Belgium",30,20,25,"Advanced Open Water Diver","Y",7,4,4,4,1,-2,-4,-4,5,4,4,-1,-2,-4,-4,"WD",6.66666666666667,22,"2024-09-17 11:00:00",65,45,8,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/17/2024","11:00","United Kingdom",57,16,20,"Advanced Open Water Diver","Y",NA,NA,4,2,-2,-3,-3,-4,3,4,4,2,-1,-4,-4,"WD",5,31.6666666666667,"2024-09-17 11:00:00",65,25,NA,FALSE,TRUE,TRUE,FALSE,NA,NA
"09/17/2024","11:00","Indonesia",26,4,20,"Advanced Open Water Diver","N",8,5,3,3,1,-2,-3,-4,4,4,3,1,-1,-3,-4,"WD",6.66666666666667,30,"2024-09-17 11:00:00",65,35,10,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/17/2024","11:00","Indonesia",27,4,20,"Professional Diver","N",8,6,3,2,1,-3,-3,-4,5,4,3,1,1,-2,-2,"WD",6.75,36.6666666666667,"2024-09-17 11:00:00",65,45,12,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/17/2024","11:00","Netherlands",33,12,15,"Open Water Diver","Y",4,2,4,3,2,-1,-1,-4,3,4,4,4,2,1,-1,"BC",8,50,"2024-09-17 11:00:00",65,25,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"09/17/2024","11:25","United Kingdom",63,11,20,"Professional Diver","N",8,5,0,0,0,0,4,0,5,0,0,0,0,-4,0,"WD",6.4,27,"2024-09-17 11:25:00",50,45,10,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
